id_cliente,prob_cancelamento,faixa_risco,sinais_de_risco,receita_anual_estimada,qtd_transacoes_12m,var_qtd_q4_q1,contatos_12m,qtd_produtos,saldo_rotativo
719621958,0.9999,Crítico,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); 3+ contatos com o banco; Rotativo zerado",34.4,40,0.379,3,3,0
709465758,0.9998,Crítico,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); 3+ contatos com o banco; Rotativo zerado",18.04,31,0.409,3,3,0
720846558,0.9997,Crítico,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); 3+ contatos com o banco; Rotativo zerado",50.24,45,0.324,4,6,0
789175683,0.9996,Crítico,Até 2 produtos,620.1,71,0.821,2,2,2517
710044308,0.9993,Crítico,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); Até 2 produtos",336.52,47,0.567,2,2,1594
788965683,0.9991,Crítico,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); 3+ contatos com o banco; Rotativo zerado",43.4,41,0.464,3,6,0
827111283,0.999,Crítico,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); Até 2 produtos",126.22,28,0.474,2,2,578
710096658,0.9988,Crítico,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); 3+ contatos com o banco",399.86,42,0.5,3,4,1978
803776533,0.9987,Crítico,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); Rotativo zerado",42.36,52,0.576,2,3,0
775112958,0.9987,Crítico,3+ contatos com o banco; Até 2 produtos; Rotativo zerado,155.62,72,0.895,3,2,0
778399008,0.9972,Crítico,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); Rotativo zerado",31.96,45,0.324,2,3,0
721425558,0.9971,Crítico,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); Até 2 produtos; Rotativo zerado",30.72,37,0.423,2,2,0
718361583,0.9952,Crítico,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); 3+ contatos com o banco; Rotativo zerado",31.18,44,0.467,5,3,0
719038008,0.9951,Crítico,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6)",311.8,41,0.242,2,3,1192
710662158,0.9942,Crítico,Poucas transações (≤ 60); 3+ contatos com o banco; Até 2 produtos,494.08,41,1.05,3,1,2517
719238183,0.9931,Crítico,Poucas transações (≤ 60); 3+ contatos com o banco,254.82,45,0.607,3,3,1167
793059108,0.9929,Crítico,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); 3+ contatos com o banco",277.06,22,0.375,3,6,1440
716436483,0.9929,Crítico,Poucas transações (≤ 60); 3+ contatos com o banco; Rotativo zerado,50.42,50,0.667,3,4,0
709253433,0.9923,Crítico,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); Até 2 produtos",393.12,58,0.45,2,2,1912
790225758,0.992,Crítico,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); 3+ contatos com o banco",156.84,47,0.424,3,6,620
712579983,0.9911,Crítico,Poucas transações (≤ 60); 3+ contatos com o banco; Rotativo zerado,45.16,59,0.788,3,5,0
714878508,0.991,Crítico,Poucas transações (≤ 60); 3+ contatos com o banco,137.32,49,0.633,3,3,535
756629133,0.9909,Crítico,Poucas transações (≤ 60); Rotativo zerado,41.76,37,0.682,2,3,0
708741633,0.9901,Crítico,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); 3+ contatos com o banco; Rotativo zerado",35.42,41,0.367,4,6,0
785432733,0.9899,Crítico,Poucas transações (≤ 60); 3+ contatos com o banco; Até 2 produtos; Rotativo zerado,19.32,22,1.2,3,2,0
715261458,0.988,Crítico,Poucas transações (≤ 60); 3+ contatos com o banco; Rotativo zerado,52.42,49,0.815,4,6,0
720446508,0.9873,Crítico,Poucas transações (≤ 60),240.28,57,0.727,2,5,1037
713785608,0.9866,Crítico,3+ contatos com o banco; Até 2 produtos; Rotativo zerado,98.36,63,0.75,3,1,0
717975333,0.9864,Crítico,Poucas transações (≤ 60),256.14,15,2.0,2,6,1330
716211258,0.9842,Crítico,Poucas transações (≤ 60); 3+ contatos com o banco; Rotativo zerado,39.32,43,1.15,4,6,0
710120358,0.9828,Crítico,Poucas transações (≤ 60); 3+ contatos com o banco,460.74,37,0.762,4,6,2312
789893808,0.9801,Crítico,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); 3+ contatos com o banco",263.4,38,0.407,3,6,1230
718086783,0.9771,Crítico,Poucas transações (≤ 60); Até 2 produtos; Rotativo zerado,94.76,56,0.867,1,2,0
709334658,0.9755,Crítico,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); 3+ contatos com o banco",493.56,51,0.378,5,4,2517
779331558,0.9703,Crítico,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); 3+ contatos com o banco; Rotativo zerado",51.96,59,0.595,3,6,0
720868683,0.9686,Crítico,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); 3+ contatos com o banco",278.02,37,0.37,3,5,1343
718837683,0.9662,Crítico,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); 3+ contatos com o banco",318.78,50,0.471,4,6,1505
710180958,0.9647,Crítico,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); 3+ contatos com o banco",485.02,31,0.476,3,5,2517
718345233,0.9632,Crítico,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); 3+ contatos com o banco",491.14,41,0.519,3,6,2517
769323183,0.9602,Crítico,Poucas transações (≤ 60); 3+ contatos com o banco,494.78,44,0.76,3,6,2517
709997958,0.96,Crítico,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); 3+ contatos com o banco; Rotativo zerado",42.66,54,0.543,4,4,0
772204758,0.9574,Crítico,Poucas transações (≤ 60),255.82,46,0.643,2,3,1165
821872758,0.9558,Crítico,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); 3+ contatos com o banco",495.48,49,0.531,4,4,2517
718627458,0.9555,Crítico,Poucas transações (≤ 60); Rotativo zerado,42.38,52,1.0,2,3,0
788465583,0.955,Crítico,Poucas transações (≤ 60); 3+ contatos com o banco; Até 2 produtos,343.72,52,0.733,3,2,1573
